Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,87.449997,103.349998,87.449997,87.949997,68.215027,647863400
2021-02-01,90.010002,98.949997,87.510002,94.519997,73.310791,550703700
2021-03-01,96.000000,104.000000,90.610001,97.970001,75.986656,673728000
2021-04-01,98.500000,112.949997,96.129997,109.019997,88.366455,455038400
2021-05-01,109.699997,120.449997,106.029999,114.779999,93.035233,589702400
2021-06-01,117.000000,118.000000,104.900002,113.250000,91.795097,536206400
2021-07-01,113.410004,117.599998,108.760002,108.760002,89.896614,423025900
2021-08-01,110.900002,113.250000,96.160004,98.680000,81.564888,518553500
2021-09-01,97.360001,100.879997,74.559998,76.239998,63.016891,730880200
2021-10-01,76.750000,83.099998,71.019997,71.610001,65.338409,528807200
2021-11-01,72.000000,72.860001,61.849998,69.949997,63.823792,604991100
2021-12-01,71.300003,80.669998,69.970001,78.750000,71.853088,494826400
2022-01-01,79.000000,89.000000,76.900002,80.870003,73.787422,517965900
2022-02-01,81.500000,94.480003,81.370003,92.279999,84.198128,527069700
2022-03-01,92.279999,107.110001,87.279999,95.599998,87.227371,748437300
2022-04-01,96.779999,98.250000,77.540001,83.290001,78.917160,563584000
2022-05-01,83.160004,87.430000,74.870003,86.209999,81.683861,650035900
2022-06-01,86.190002,90.889999,72.430000,76.559998,72.540504,583178600
2022-07-01,75.519997,78.220001,66.180000,69.750000,66.088036,608321400
2022-08-01,68.940002,73.650002,64.400002,64.500000,61.113663,748138300
2022-09-01,63.980000,72.900002,61.900002,72.040001,71.795647,758090000
2022-10-01,73.239998,79.440002,65.519997,67.129997,66.902298,829629000
2022-11-01,69.449997,86.620003,66.580002,85.709999,85.419281,759204900
2022-12-01,86.419998,90.209999,83.860001,88.879997,88.578522,620397900
